title,rating,review_counts,publication_house,author,publishing_date,copies_sold
The Chance Chronicles 5,2.66,49090,Pena LLC Publications,Dustin Barber,2021-01-23,186911
The Do Chronicles 4,3.39,16802,Ferrell and Sons Publications,Thomas Waters,2022-09-05,373639
The According Chronicles 1,4.74,7465,Lopez-Jones Publications,Antonio Crane,2023-02-27,636637
The Well Chronicles 1,4.29,11749,Nguyen Inc Publications,Stephanie Smith,2021-04-25,989555
The Explain Chronicles 2,3.58,38661,Moore LLC Publications,Jose Young,2016-10-18,748602
The Star Chronicles 4,4.73,11739,Young-Johnson Publications,Dan Pham,2022-04-23,957686
The Trade Chronicles 2,4.49,40220,Walker-Parks Publications,Timothy Wells,2018-04-07,418024
The Image Chronicles 3,3.87,6413,Tucker and Sons Publications,Craig Ayala,2018-02-15,373509
The Machine Chronicles 1,3.26,47010,Cruz PLC Publications,Allen Spence,2024-03-21,300649
The What Chronicles 4,4.91,30933,Young-Johnson Publications,Thomas Waters,2024-04-22,816857
The Listen Chronicles 4,2.89,46927,"Harris, Davis and Stevenson Publications",Jennifer Brown,2024-01-22,488995
The Minute Chronicles 2,3.61,23583,"Schroeder, Moore and Allen Publications",Stacy Gutierrez,2021-04-10,763716
The Owner Chronicles 3,2.66,22976,Austin LLC Publications,Barbara Benson,2022-02-28,992409
The Throughout Chronicles 2,2.93,3540,Ramos-Walker Publications,Brian Rivera,2025-04-23,299152
The Staff Chronicles 5,4.17,8996,Austin LLC Publications,Mary Smith,2016-09-14,7174
The Think Chronicles 3,2.99,22461,Martin Inc Publications,Antonio Crane,2016-05-20,293785
The Later Chronicles 1,2.98,5347,"Green, Castillo and Rowe Publications",Larry Lewis,2017-04-27,112505
The Source Chronicles 4,4.79,24214,Patterson-Potter Publications,Jose Young,2024-09-10,70831
The Special Chronicles 3,2.8,6720,Smith Ltd Publications,Mathew Martin,2023-08-24,610992
The Well Chronicles 3,4.4,43016,Gilbert-Robinson Publications,Jerry Brown,2018-04-13,423913
The Expert Chronicles 5,4.4,14301,Joseph-Gonzalez Publications,Joshua White,2024-10-31,140268
The Impact Chronicles 5,4.69,17744,Reyes-Carter Publications,Andrew Carlson,2025-05-10,780337
The West Chronicles 4,3.25,26708,Moore-Potter Publications,Cody Thomas,2021-12-30,212675
The As Chronicles 3,3.43,16810,Ortega-Brandt Publications,Katelyn Smith,2022-08-26,312365
The Alone Chronicles 1,3.97,31405,"Taylor, Murphy and Watkins Publications",Thomas Waters,2022-11-28,167169
The Tonight Chronicles 5,3.04,9878,"Schroeder, Moore and Allen Publications",Matthew Brooks,2018-10-13,88493
